user_id,location_id_number
7,187
7,712
7,712
7,712
7,552
7,552
7,552
7,712
7,712
7,712
7,712
7,88
7,88
7,633
7,633
7,633
7,242
7,3
7,3
7,94
7,239
7,239
7,164
7,88
7,88
7,580
7,498
7,498
7,580
7,580
7,511
7,88
7,88
7,498
7,498
7,731
7,731
8,306
7,318
7,318
7,88
7,88
8,306
7,621
7,621
7,673
7,731
7,731
7,176
7,677
8,560
8,560
7,173
7,581
8,306
8,309
7,633
7,633
8,306
8,306
7,673
7,88
8,221
8,221
8,306
7,673
7,88
7,673
7,673
7,88
7,88
7,88
7,673
8,579
7,406
8,306
7,406
7,673
7,148
7,148
8,8
7,88
7,673
8,306
7,343
7,343
8,491
8,491
8,306
8,306
7,534
7,88
7,88
7,88
8,306
7,673
8,306
7,673
7,673
8,327
8,421
8,421
7,528
7,558
7,558
8,141
8,141
7,673
7,673
8,306
7,673
7,673
7,673
7,178
7,178
7,402
8,370
8,306
7,511
7,679
7,680
8,12
7,177
8,306
8,306
8,74
8,306
7,177
8,130
8,306
8,306
7,232
8,141
8,141
7,176
8,306
8,306
7,450
7,670
7,239
7,239
8,128
8,62
8,306
7,651
7,651
7,208
7,208
7,239
7,173
7,124
7,662
7,77
7,239
8,128
7,717
8,306
7,717
8,232
7,22
8,306
7,179
7,511
7,5
7,5
8,285
7,673
8,128
8,306
7,673
7,414
7,673
8,201
8,201
8,161
8,306
8,306
7,222
7,316
7,723
7,265
7,612
7,17
7,279
7,401
7,511
7,511
7,673
7,673
7,47
7,47
7,310
7,594
8,156
8,156
8,306
7,88
7,580
7,580
8,130
8,130
8,130
7,580
7,673
8,306
7,628
7,497
7,580
7,673
7,135
7,622
7,622
7,672
8,140
8,306
7,668
7,472
7,472
7,695
7,692
7,692
7,692
7,692
7,692
7,692
7,258
7,667
7,10
7,10
7,16
7,16
7,677
7,239
7,581
7,668
7,670
7,238
7,176
7,176
7,389
7,197
7,413
7,646
7,328
7,328
7,532
8,144
7,532
7,646
7,646
8,285
8,306
8,306
7,404
7,236
7,236
7,328
7,328
7,451
7,451
7,646
7,11
7,639
8,591
8,306
8,306
7,646
7,264
7,264
8,528
8,517
8,517
8,306
8,208
8,306
8,536
7,646
8,306
7,197
7,197
7,118
7,457
7,720
7,640
7,647
7,720
8,201
8,491
8,306
7,119
7,720
7,74
7,74
7,511
7,176
8,472
7,513
8,140
8,306
7,675
7,189
8,491
8,575
8,306
8,306
7,523
7,479
7,674
7,665
7,585
7,88
7,424
7,493
7,673
8,297
8,306
8,205
7,99
7,673
8,306
8,324
7,673
7,314
7,146
7,462
7,435
8,306
8,200
8,200
8,33
7,24
7,673
8,306
8,423
8,306
7,343
7,88
7,88
7,673
7,67
7,673
7,88
7,88
7,511
7,517
7,658
7,226
7,245
8,11
8,201
7,388
8,491
8,306
7,393
7,393
7,393
7,425
8,313
8,306
7,32
7,32
7,166
7,166
7,506
7,722
7,520
7,520
7,221
8,208
7,388
8,306
7,245
7,597
7,544
7,634
7,437
7,661
7,55
8,404
8,306
8,201
8,130
8,306
8,300
8,102
8,306
8,452
8,306
8,306
7,634
8,500
8,9
7,511
8,306
7,560
7,689
7,673
7,88
7,137
7,673
8,366
8,306
7,101
7,101
7,673
7,712
8,357
7,429
7,712
8,68
7,348
8,306
7,325
8,140
8,306
8,238
7,673
8,140
8,306
7,317
7,360
7,391
7,88
7,673
8,485
7,557
8,306
7,88
7,671
7,671
7,383
7,383
7,88
7,593
7,406
7,406
5,597
5,597
7,673
7,424
7,673
5,539
5,539
7,188
7,129
7,113
5,197
7,326
5,442
5,442
5,368
7,345
5,197
7,516
5,493
5,493
5,197
7,516
8,598
8,306
7,516
7,516
5,226
5,368
7,345
7,637
7,322
7,322
7,309
7,88
7,673
7,731
7,731
5,240
5,103
7,88
7,98
7,146
5,489
7,727
5,220
8,575
5,101
7,555
7,673
8,306
5,220
5,343
5,126
5,343
5,126
5,220
5,101
5,541
5,541
5,541
5,220
5,294
5,294
7,368
5,170
8,412
8,500
8,306
5,41
5,220
7,42
7,42
5,563
5,189
5,220
7,191
8,306
7,42
7,42
7,676
7,676
7,676
7,418
8,434
5,220
5,453
5,453
7,33
8,306
5,220
5,489
7,4
8,201
5,240
5,183
8,306
5,368
7,128
7,9
7,9
5,197
7,478
5,69
5,197
7,9
8,68
8,306
5,197
5,508
7,706
5,197
8,201
8,201
8,306
7,601
5,368
5,197
5,69
5,69
7,27
7,27
7,511
8,201
7,615
8,306
5,368
5,368
5,183
8,239
5,141
8,213
5,223
8,306
7,83
5,197
7,35
5,368
7,342
5,530
5,530
5,368
7,673
5,246
7,107
5,530
5,530
7,188
5,5
5,5
5,368
5,421
5,368
5,102
5,102
7,464
5,368
7,7
7,438
5,197
8,374
7,438
7,72
5,201
5,197
8,306
5,368
7,681
7,1
7,174
7,234
7,721
8,10
8,201
8,201
8,306
7,375
5,286
5,286
7,335
5,197
5,508
7,205
5,368
7,721
5,524
7,596
7,205
8,408
5,197
5,544
7,681
8,306
5,368
5,118
5,118
5,520
5,520
8,239
8,201
7,174
7,234
8,306
5,368
5,368
5,368
7,681
5,160
5,160
7,732
5,368
7,63
5,160
7,63
7,63
8,132
7,79
7,280
7,165
8,306
5,209
7,531
7,369
8,432
8,432
7,369
7,234
7,681
7,630
8,432
8,432
8,306
7,260
5,70
7,252
7,345
7,352
7,671
7,529
5,183
7,673
5,368
5,197
5,197
7,88
5,167
5,421
5,197
7,673
5,374
5,368
8,515
7,161
8,306
7,673
5,197
5,368
7,159
7,671
7,671
7,671
5,458
7,671
5,183
5,240
5,240
5,103
5,103
7,526
8,403
7,323
7,323
5,489
5,489
8,471
5,220
5,220
5,33
8,564
7,51
5,527
5,220
5,512
5,577
7,589
5,384
8,558
7,188
5,335
7,38
8,448
7,353
5,220
5,396
8,275
7,423
7,214
7,76
5,565
5,565
5,220
8,275
8,448
8,557
8,288
8,448
8,36
8,36
7,8
7,243
5,121
7,673
8,448
5,220
5,35
5,443
8,559
7,673
5,129
5,304
7,54
7,459
8,448
5,317
7,562
5,304
8,559
7,345
7,562
5,436
5,436
7,88
7,605
8,448
7,195
5,450
5,433
5,433
7,195
7,20
5,588
5,402
5,402
5,378
8,305
5,436
5,136
5,136
5,436
7,673
7,134
5,587
7,46
8,119
5,35
8,196
5,440
7,454
8,95
5,220
8,312
7,673
7,673
5,460
5,270
5,22
5,22
5,22
7,88
8,190
7,605
5,37
8,154
5,220
5,329
5,329
7,12
7,12
8,312
8,196
5,220
5,80
5,75
7,252
5,178
5,178
5,469
8,191
5,2
5,2
5,2
5,211
5,428
8,196
5,428
7,4
5,220
7,650
8,398
5,220
5,220
5,440
7,333
7,225
5,436
8,558
8,561
8,303
5,411
5,436
5,590
5,590
8,329
5,6
7,180
5,152
5,152
8,306
5,56
5,352
8,415
8,306
5,436
7,162
7,446
5,339
8,306
7,183
5,409
5,567
8,306
8,123
7,660
8,306
5,240
7,181
7,34
5,183
5,524
8,364
8,306
8,422
8,372
8,201
7,645
5,380
5,168
8,306
5,168
5,183
5,183
8,500
5,368
8,306
5,571
5,458
5,183
8,562
8,306
5,368
8,217
5,368
5,262
8,306
5,524
5,524
5,183
5,224
5,197
8,545
8,545
5,7
7,653
8,464
8,306
5,368
8,43
5,222
8,306
5,183
5,368
5,368
7,110
7,58
5,432
8,46
7,652
8,46
8,306
5,183
5,207
7,654
5,341
5,183
5,368
8,306
8,295
8,295
8,51
7,649
8,226
8,306
8,306
7,229
7,439
5,436
8,306
7,649
8,55
8,55
8,493
8,3
8,306
7,449
7,449
8,131
8,131
8,306
7,495
7,511
7,673
7,673
5,503
5,503
5,529
8,387
5,436
8,306
7,576
7,196
7,605
8,568
5,287
8,306
8,6
5,436
8,306
7,673
5,531
8,246
8,246
8,334
7,88
8,187
8,306
5,436
5,142
8,332
8,306
7,200
5,142
5,91
5,91
5,91
8,306
7,356
5,89
5,436
7,200
7,555
5,551
5,434
5,376
5,376
5,376
5,436
5,436
5,129
5,129
7,200
7,51
5,436
5,212
5,398
7,673
8,306
5,124
5,436
