user_id,location_id_number
1,573
1,77
1,77
1,77
1,451
1,542
1,542
1,575
1,575
1,111
1,242
1,111
1,111
1,307
1,575
1,575
1,179
1,575
1,111
1,29
1,111
1,111
1,201
1,201
1,201
1,201
1,575
1,575
1,111
1,453
1,453
1,111
1,111
1,111
1,201
1,201
1,201
1,338
1,338
1,338
1,356
1,575
1,532
1,532
1,211
1,532
1,300
1,130
1,130
1,130
1,130
1,110
1,110
1,423
1,594
1,575
1,248
1,179
1,179
1,111
1,111
1,549
1,111
1,111
1,359
1,575
1,575
1,575
1,111
1,111
1,356
1,111
1,111
1,111
1,130
1,108
1,108
1,108
1,575
1,106
1,575
1,111
1,111
1,111
1,111
1,111
1,575
1,532
1,532
1,575
1,111
1,242
1,111
1,111
1,290
1,290
1,290
1,290
1,290
1,290
1,281
1,213
1,213
1,575
1,111
1,220
1,111
1,111
1,575
1,532
1,211
1,211
1,575
1,171
1,171
1,565
1,223
1,191
1,191
1,141
1,141
1,141
1,111
1,111
1,604
1,612
1,111
1,60
1,111
1,397
1,111
1,216
1,216
1,575
1,179
1,111
1,549
1,111
1,242
1,612
1,111
1,111
1,543
1,111
1,475
1,475
1,575
1,575
1,575
1,111
1,256
1,256
1,111
1,111
1,111
1,290
1,290
1,532
1,532
1,532
1,194
1,194
1,575
1,82
1,277
1,575
1,575
1,244
1,617
1,617
1,582
1,575
1,179
1,618
1,618
1,111
1,575
1,198
1,198
1,119
1,119
1,566
1,566
1,61
1,271
1,119
1,119
1,119
1,119
1,119
1,520
1,520
1,119
1,119
1,119
1,119
1,542
1,542
1,111
1,111
1,111
1,575
1,473
1,111
1,185
1,575
1,532
1,111
1,543
1,111
1,397
1,364
1,111
1,370
1,370
1,111
1,564
1,157
1,611
1,532
1,300
1,199
1,199
1,199
1,133
1,133
1,124
1,390
1,504
1,111
1,29
1,111
1,111
1,543
1,111
1,618
1,324
1,111
1,179
1,111
1,430
1,430
1,111
1,484
1,111
1,571
1,111
1,111
1,309
1,246
1,156
1,190
1,311
1,311
1,36
1,58
1,518
1,214
1,214
1,214
1,36
1,36
1,57
1,400
1,411
1,619
1,519
1,575
1,575
1,179
1,111
1,549
1,111
1,543
1,575
1,111
1,111
1,260
1,260
1,111
1,179
1,571
1,111
1,111
1,55
1,155
1,155
1,253
1,95
1,593
1,604
1,81
1,575
1,570
1,532
1,532
1,575
1,60
1,575
1,100
1,96
1,575
1,575
1,111
1,543
1,397
1,7
1,7
1,7
1,111
1,111
1,618
1,618
1,111
1,575
1,403
1,390
1,390
1,591
1,111
1,333
1,111
1,460
1,111
1,370
1,370
